Unnamed: 0,mines_outcome,LATITUD_Y,LONGITUD_X,random_seed0,random_seed1,random_seed2,random_seed3,random_seed4,sonson_seed0,sonson_seed1,sonson_seed2,sonson_seed3,sonson_seed4,caldas_seed0,caldas_seed1,caldas_seed2,caldas_seed3,caldas_seed4,random_avg,sonson_avg,caldas_avg,test_avg,geometry,cluster,Municipio
30,-1,5.750176356,-75.54500155,0.238186916,0.215290725,0.548816362,0.236847893,0.243021186,0.279064501,0.262223593,0.360518518,0.282828454,0.518896345,0.496772666,0.421015249,0.447573402,0.372605404,0.484004898,0.296432616,0.340706282,0.444394324,0.360511074,POINT (-75.54500155 5.750176356),0,ABEJORRAL
31,-1,5.759150715,-75.54500155,0.281229756,0.438423051,0.59196126,0.259290716,0.375267188,0.554640317,0.513731098,0.651732198,0.521051936,0.827568632,0.540040764,0.434663996,0.475789684,0.368265712,0.506302771,0.389234394,0.613744836,0.465012586,0.489330605,POINT (-75.54500155 5.759150715),0,ABEJORRAL
32,-1,5.768125074,-75.54500155,0.227707314,0.20530203,0.555849926,0.216986235,0.258380154,0.503411801,0.42907686,0.465462441,0.432951262,0.717801768,0.501213379,0.36350966,0.434967589,0.355791716,0.467753573,0.292845132,0.509740826,0.424647183,0.409077714,POINT (-75.54500155 5.768125074),0,ABEJORRAL
33,-1,5.777099433,-75.54500155,0.410290838,0.188839775,0.214384778,0.217328275,0.224380376,0.203248774,0.235611293,0.287580705,0.218771278,0.517772888,0.467624635,0.334057466,0.418572433,0.48365303,0.448600067,0.251044808,0.292596988,0.430501526,0.324714441,POINT (-75.54500155 5.777099433),0,ABEJORRAL
34,-1,5.786073792,-75.54500155,0.490141169,0.174764531,0.173150959,0.293590014,0.221053939,0.166872858,0.223099837,0.264221118,0.163258951,0.502090495,0.442785755,0.343799294,0.394359157,0.608121827,0.436415131,0.270540122,0.263908652,0.445096233,0.326515002,POINT (-75.54500155 5.786073792),0,ABEJORRAL
35,-1,5.705304561,-75.53602719,0.19080671,0.164208078,0.164247765,0.192753915,0.174974371,0.182255819,0.191091704,0.260491426,0.127022164,0.339538902,0.336925664,0.202817609,0.252359792,0.466122093,0.290493902,0.177398168,0.220080003,0.309743812,0.235740661,POINT (-75.53602719 5.705304561),0,ABEJORRAL
36,-1,5.71427892,-75.53602719,0.202955121,0.187139093,0.417742702,0.200492138,0.199237133,0.180702148,0.19841667,0.254260796,0.187903165,0.394708366,0.356154312,0.228214821,0.273886533,0.394694112,0.295529789,0.241513237,0.243198229,0.309695913,0.26480246,POINT (-75.53602719 5.71427892),0,ABEJORRAL
37,-1,5.723253279,-75.53602719,0.239142915,0.199639032,0.514805037,0.220088082,0.235863802,0.304968753,0.319214315,0.374091849,0.349115377,0.543375859,0.370773845,0.274462908,0.302232995,0.456563177,0.3433557,0.281907774,0.378153231,0.349477725,0.33651291,POINT (-75.53602719 5.723253279),0,ABEJORRAL
38,-1,5.732227638,-75.53602719,0.340483792,0.164662676,0.170391228,0.202810618,0.20239593,0.218322561,0.248327128,0.312024116,0.244102565,0.477183329,0.330956672,0.224304734,0.279015337,0.414111408,0.320576584,0.216148849,0.29999194,0.313792947,0.276644579,POINT (-75.53602719 5.732227638),0,ABEJORRAL
39,-1,5.741201997,-75.53602719,0.217133825,0.204228658,0.526756566,0.222560429,0.215821535,0.265065325,0.301727272,0.334363382,0.317826682,0.583450392,0.469709408,0.352445623,0.405236233,0.357807741,0.446233775,0.277300202,0.360486611,0.406286556,0.348024456,POINT (-75.53602719 5.741201997),0,ABEJORRAL
40,-1,5.705304561,-75.52705283,0.211967671,0.19853942,0.201301724,0.217289621,0.217313202,0.22088847,0.21503047,0.224556824,0.162780961,0.383389072,0.340216483,0.210914208,0.24501638,0.383053404,0.309695716,0.209282328,0.24132916,0.297779238,0.249463575,POINT (-75.52705283 5.705304561),0,ABEJORRAL
41,-1,5.71427892,-75.52705283,0.236575641,0.193605283,0.215787787,0.222529958,0.227229693,0.241766027,0.261433455,0.309606307,0.29618245,0.257673776,0.373348033,0.26737224,0.309313602,0.469727925,0.352811663,0.219145672,0.273332403,0.354514692,0.282330923,POINT (-75.52705283 5.71427892),0,ABEJORRAL
42,-1,5.768125074,-75.52705283,0.617606712,0.579491822,0.596162946,0.610162402,0.370309487,0.675201577,0.520706518,0.747047302,0.702233224,0.809866957,0.537946634,0.505655529,0.484643177,0.687391172,0.536227084,0.554746674,0.691011116,0.550372719,0.598710169,POINT (-75.52705283 5.768125074),1,ABEJORRAL
43,-1,5.759150715,-75.51807847,0.71110621,0.672213727,0.681386036,0.698095525,0.428057206,0.585622264,0.451769473,0.609743013,0.727139899,0.715102013,0.435352287,0.52861575,0.39330542,0.388592578,0.423558055,0.638171741,0.617875332,0.433884818,0.56331063,POINT (-75.51807847 5.759150715),1,ABEJORRAL
44,-1,5.732227638,-75.50910412,0.381788502,0.340039498,0.661381303,0.332738575,0.395182037,0.371836643,0.319625405,0.323469115,0.545769024,0.530336274,0.413458096,0.297589687,0.319060255,0.338845116,0.37910751,0.422225983,0.418207292,0.349612133,0.396681803,POINT (-75.50910412 5.732227638),0,ABEJORRAL
45,-1,5.741201997,-75.50910412,0.539997067,0.383324458,0.678081147,0.341604298,0.395788807,0.564244935,0.452772707,0.431644634,0.689878955,0.661050451,0.407454171,0.324624271,0.323953163,0.346335814,0.383525886,0.467759155,0.559918336,0.357178661,0.461618718,POINT (-75.50910412 5.741201997),0,ABEJORRAL
46,-1,5.759150715,-75.50910412,0.717184781,0.699419471,0.709558517,0.702759632,0.455446152,0.740035937,0.56128034,0.701109696,0.79934875,0.784918483,0.403890527,0.495451002,0.366850576,0.460711839,0.398434002,0.65687371,0.717338641,0.425067589,0.59975998,POINT (-75.50910412 5.759150715),1,ABEJORRAL
47,-1,5.768125074,-75.50910412,0.737618473,0.715307666,0.730238618,0.733651746,0.693753724,0.754520561,0.605840147,0.804180045,0.845291667,0.816282546,0.445163917,0.599692793,0.423264071,0.554450085,0.442099408,0.722114045,0.765222993,0.492934055,0.660090364,POINT (-75.50910412 5.768125074),1,ABEJORRAL
48,-1,5.732227638,-75.50012976,0.567764648,0.318413383,0.521291947,0.470456599,0.345678878,0.247449081,0.35121352,0.362292679,0.523998213,0.489342198,0.39852928,0.334458559,0.33086347,0.466973026,0.394357922,0.444721091,0.394859138,0.385036451,0.40820556,POINT (-75.50012976 5.732227638),0,ABEJORRAL
49,-1,5.750176356,-75.50012976,0.682223678,0.726009542,0.741698051,0.721943602,0.665076102,0.697833488,0.513564816,0.561127781,0.721442515,0.691429056,0.413704243,0.470801562,0.383890567,0.507690371,0.419695044,0.707390195,0.637079531,0.439156358,0.594542028,POINT (-75.50012976 5.750176356),1,ABEJORRAL
50,-1,5.723253279,-75.4911554,0.624638437,0.429827871,0.429035126,0.643511072,0.365453794,0.249024521,0.347954104,0.376355529,0.478153207,0.497137189,0.416318743,0.330607554,0.352230366,0.428076132,0.40752136,0.49849326,0.38972491,0.386950831,0.425056334,POINT (-75.4911554 5.723253279),1,ABEJORRAL
51,-1,5.732227638,-75.4911554,0.725894527,0.479242881,0.706589302,0.753275585,0.610632394,0.6925223,0.617007061,0.687948638,0.642866616,0.576571545,0.442353718,0.619604377,0.44299868,0.662421017,0.472087355,0.655126938,0.643383232,0.52789303,0.608801066,POINT (-75.4911554 5.732227638),1,ABEJORRAL
52,-1,5.741201997,-75.4911554,0.643817048,0.661310794,0.385082537,0.700294541,0.573480118,0.59939225,0.596683111,0.620690424,0.756043733,0.749708368,0.387869287,0.463794232,0.370220029,0.372881617,0.410816411,0.592797007,0.664503577,0.401116315,0.552805633,POINT (-75.4911554 5.741201997),1,ABEJORRAL
53,-1,5.750176356,-75.4911554,0.690683872,0.705633729,0.698239755,0.741733969,0.653829726,0.780265524,0.604079573,0.649946148,0.788338369,0.773904446,0.451025576,0.560090273,0.393893527,0.473524214,0.432894844,0.69802421,0.719306812,0.462285687,0.626538903,POINT (-75.4911554 5.750176356),1,ABEJORRAL
54,-1,5.759150715,-75.4911554,0.704992054,0.693514637,0.725138684,0.733090865,0.679878722,0.755056662,0.557442444,0.712010373,0.77271993,0.781753057,0.471126466,0.619595951,0.414833915,0.444541984,0.444554547,0.707322993,0.715796493,0.478930573,0.634016686,POINT (-75.4911554 5.759150715),1,ABEJORRAL
55,1,5.768125074,-75.4911554,0.677506954,0.670485957,0.705673212,0.698756124,0.688386283,0.690220566,0.483402386,0.699163303,0.722090548,0.708054331,0.479791479,0.663208352,0.436173691,0.518954305,0.481911528,0.688161706,0.660586227,0.516007871,0.621585268,POINT (-75.4911554 5.768125074),1,ABEJORRAL
56,1,5.777099433,-75.4911554,0.751453882,0.733241387,0.7627443,0.768858071,0.732585256,0.749133512,0.563070858,0.769626098,0.786834749,0.763354303,0.457114704,0.660692715,0.440365115,0.584878494,0.463919592,0.749776579,0.726403904,0.521394124,0.665858202,POINT (-75.4911554 5.777099433),1,ABEJORRAL
57,1,5.786073792,-75.4911554,0.699342733,0.692922756,0.703893269,0.709937451,0.647763285,0.724639397,0.530880691,0.760791133,0.776572378,0.738959967,0.379889635,0.542843799,0.368826388,0.4960325,0.379798034,0.690771899,0.706368713,0.433478071,0.610206228,POINT (-75.4911554 5.786073792),1,ABEJORRAL
58,-1,5.71427892,-75.48218104,0.586891808,0.478030427,0.624730703,0.609200923,0.327930541,0.44130077,0.534315753,0.624190927,0.592986238,0.69113422,0.365854208,0.241686801,0.322146019,0.400478877,0.358236424,0.52535688,0.576785582,0.337680466,0.479940976,POINT (-75.48218104 5.71427892),1,ABEJORRAL
59,-1,5.741201997,-75.48218104,0.671657477,0.693806015,0.437697549,0.7224084,0.70032634,0.662982041,0.616523034,0.823367584,0.787991517,0.779934104,0.449157692,0.690606826,0.487559938,0.42545204,0.504005639,0.645179156,0.734159656,0.511356427,0.630231746,POINT (-75.48218104 5.741201997),1,ABEJORRAL
60,-1,5.750176356,-75.48218104,0.683553821,0.698262078,0.70294663,0.733579389,0.687083059,0.644028809,0.439622347,0.531346222,0.639839207,0.635631813,0.44001467,0.611192841,0.412438915,0.422917596,0.438837544,0.701084995,0.578093679,0.465080313,0.581419663,POINT (-75.48218104 5.750176356),1,ABEJORRAL
61,-1,5.759150715,-75.48218104,0.696464986,0.728587996,0.747820186,0.756441048,0.746002245,0.63707416,0.444063837,0.563748628,0.643824505,0.621442236,0.490379216,0.660200667,0.436311588,0.524777889,0.469954101,0.735063292,0.582030673,0.516324692,0.611139553,POINT (-75.48218104 5.759150715),1,ABEJORRAL
62,1,5.768125074,-75.48218104,0.705178414,0.718635153,0.750473616,0.742991037,0.747222426,0.776066871,0.593684132,0.800546216,0.825192763,0.802679162,0.465058425,0.661030966,0.426599389,0.534824715,0.465297575,0.732900129,0.759633829,0.510562214,0.667698724,POINT (-75.48218104 5.768125074),1,ABEJORRAL
63,1,5.777099433,-75.48218104,0.738442613,0.738786978,0.750968599,0.751124593,0.742585126,0.7844011,0.604173559,0.837671802,0.830614158,0.817883651,0.466570451,0.615918976,0.437059519,0.588707535,0.464805991,0.744381582,0.774948854,0.514612494,0.677980977,POINT (-75.48218104 5.777099433),1,ABEJORRAL
64,1,5.786073792,-75.48218104,0.716860857,0.70451471,0.731916922,0.729486248,0.666822079,0.582040954,0.402945489,0.567810109,0.620354428,0.602821824,0.40440506,0.507189287,0.375947287,0.580649235,0.386402213,0.709920163,0.555194561,0.450918616,0.572011113,POINT (-75.48218104 5.786073792),1,ABEJORRAL
65,1,5.795048151,-75.48218104,0.634365331,0.372438204,0.637875257,0.639640992,0.631357518,0.599631958,0.551829985,0.599196274,0.739315368,0.731449996,0.377260228,0.422668203,0.324047113,0.56802062,0.341650844,0.58313546,0.644284716,0.406729402,0.544716526,POINT (-75.48218104 5.795048151),1,ABEJORRAL
66,-1,5.768125074,-75.47320668,0.731118972,0.756748623,0.772725362,0.763481083,0.777441228,0.812309853,0.660656524,0.799713859,0.837169266,0.834586943,0.490753883,0.663553786,0.474736832,0.641587099,0.479688596,0.760303054,0.788887289,0.550064039,0.699751461,POINT (-75.47320668 5.768125074),1,ABEJORRAL
67,1,5.777099433,-75.47320668,0.74156993,0.758803764,0.766422308,0.773568184,0.742181498,0.807820331,0.618782863,0.824100554,0.823050554,0.815775615,0.480090132,0.579698176,0.454623815,0.639756335,0.468575546,0.756509137,0.777905983,0.524548801,0.686321307,POINT (-75.47320668 5.777099433),1,ABEJORRAL
68,1,5.786073792,-75.47320668,0.699720693,0.719680941,0.742339722,0.74748997,0.702503127,0.766107297,0.589311583,0.74455109,0.808256424,0.775581661,0.437179484,0.437510446,0.406462365,0.607166559,0.417640017,0.722346891,0.736761611,0.461191774,0.640100092,POINT (-75.47320668 5.786073792),1,ABEJORRAL
69,-1,5.795048151,-75.47320668,0.695569869,0.689219348,0.70379885,0.720567801,0.70237378,0.614199709,0.504644547,0.534882409,0.715311287,0.671705641,0.445124571,0.422970607,0.410552268,0.645850648,0.424758277,0.702305929,0.608148719,0.469851274,0.593435307,POINT (-75.47320668 5.795048151),1,ABEJORRAL
70,-1,5.80402251,-75.47320668,0.614689206,0.472078511,0.560722887,0.400700466,0.685346228,0.510849106,0.449891194,0.429983463,0.684965569,0.560450005,0.450192739,0.36256312,0.427733831,0.647553909,0.441468654,0.54670746,0.527227867,0.465902451,0.513279259,POINT (-75.47320668 5.80402251),1,ABEJORRAL
71,-1,5.795048151,-75.46423232,0.675191863,0.56311428,0.644427885,0.698691831,0.691329853,0.660425005,0.546192576,0.582408329,0.748807258,0.622937322,0.437848819,0.336182753,0.424440545,0.643613455,0.437658217,0.654551142,0.632154098,0.455948758,0.580884666,POINT (-75.46423232 5.795048151),1,ABEJORRAL
