Unnamed: 0,mines_outcome,LATITUD_Y,LONGITUD_X,random_seed0,random_seed1,random_seed2,random_seed3,random_seed4,sonson_seed0,sonson_seed1,sonson_seed2,sonson_seed3,sonson_seed4,caldas_seed0,caldas_seed1,caldas_seed2,caldas_seed3,caldas_seed4,geometry,cluster,sonson_avg,Municipio,option
35,-1,5.705304561,-75.53602719,0.128891938,0.306801507,0.337888319,0.157734,0.131855898,0.431744447,0.447345414,0.137494457,0.475796217,0.170123882,0.461267952,0.130065563,0.131731687,0.136849633,0.276889651,POINT (-75.53602719235352 5.705304561267826),0,0.332500883,ABEJORRAL,sonson_avg
36,-1,5.71427892,-75.53602719,0.139342879,0.326906673,0.156772561,0.167850421,0.264816035,0.435109471,0.432339963,0.144512223,0.485783647,0.156806595,0.499248029,0.170827041,0.178836935,0.324867161,0.490838035,POINT (-75.53602719235352 5.714278920242185),0,0.33091038,ABEJORRAL,sonson_avg
37,-1,5.723253279,-75.53602719,0.218160996,0.365232208,0.212618381,0.25900103,0.200202534,0.466576805,0.360020087,0.162321439,0.490878296,0.440274148,0.537483054,0.249229248,0.209807058,0.301499344,0.463943393,POINT (-75.53602719235352 5.723253279216544),0,0.384014155,ABEJORRAL,sonson_avg
38,-1,5.732227638,-75.53602719,0.157341694,0.383056211,0.151439036,0.203581046,0.171451454,0.462050418,0.445261716,0.159669335,0.481274416,0.119818069,0.493327594,0.499517541,0.225392394,0.234348648,0.539556723,POINT (-75.53602719235352 5.732227638190903),0,0.333614791,ABEJORRAL,sonson_avg
39,-1,5.741201997,-75.53602719,0.15522199,0.441695471,0.487600714,0.222593501,0.490103767,0.466143717,0.486799907,0.50490188,0.4974714,0.117566418,0.357153035,0.308387595,0.285414219,0.312501126,0.620859586,POINT (-75.53602719235352 5.741201997165262),0,0.414576664,ABEJORRAL,sonson_avg
40,-1,5.705304561,-75.52705283,0.172050806,0.287705557,0.196194019,0.184462856,0.160206208,0.445602044,0.337999338,0.138029335,0.463801234,0.222799786,0.510728272,0.230700759,0.179237064,0.164021633,0.38544902,POINT (-75.52705283337916 5.705304561267826),0,0.321646347,ABEJORRAL,sonson_avg
41,-1,5.71427892,-75.52705283,0.185026894,0.207969274,0.16991608,0.196215043,0.167571695,0.441309852,0.388232578,0.134552635,0.461066074,0.440247261,0.503878361,0.494750895,0.174185943,0.220643244,0.491934676,POINT (-75.52705283337916 5.714278920242185),0,0.37308168,ABEJORRAL,sonson_avg
42,-1,5.768125074,-75.52705283,0.649597211,0.694785693,0.680086482,0.672962048,0.591901108,0.723113249,0.743650887,0.70514568,0.73473971,0.676482401,0.750774347,0.766295171,0.749519704,0.732884961,0.767108308,POINT (-75.52705283337916 5.7681250740883385),1,0.716626385,ABEJORRAL,sonson_avg
43,-1,5.759150715,-75.51807847,0.747447486,0.761802397,0.611347929,0.752850574,0.758330602,0.688122351,0.692665804,0.699136153,0.717780383,0.67719368,0.774180854,0.782403478,0.755585517,0.647063913,0.765025217,POINT (-75.5180784744048 5.75915071511398),1,0.694979674,ABEJORRAL,sonson_avg
44,-1,5.732227638,-75.50910412,0.62279011,0.583871921,0.282126763,0.569769732,0.605507816,0.455874959,0.453679418,0.250463634,0.481486652,0.467093119,0.51998089,0.598586664,0.297611554,0.245365063,0.593572857,POINT (-75.50910411543045 5.732227638190903),0,0.421719556,ABEJORRAL,sonson_avg
45,-1,5.741201997,-75.50910412,0.664750322,0.514427323,0.339319054,0.577925618,0.649323968,0.679380698,0.703355933,0.654010527,0.724429883,0.690050535,0.62762242,0.74749546,0.429791988,0.402124126,0.742880169,POINT (-75.50910411543045 5.741201997165262),1,0.690245515,ABEJORRAL,sonson_avg
46,-1,5.759150715,-75.50910412,0.767570388,0.767127938,0.758466215,0.79376842,0.764623806,0.783258547,0.804827584,0.811282952,0.816495482,0.791758424,0.80145228,0.801234631,0.788905774,0.794009883,0.787518033,POINT (-75.50910411543045 5.75915071511398),1,0.801524598,ABEJORRAL,sonson_avg
47,-1,5.768125074,-75.50910412,0.782529767,0.787655691,0.788153595,0.809691582,0.783883502,0.803959828,0.818841456,0.811970703,0.846228346,0.806755594,0.818673117,0.814704087,0.809287828,0.801533979,0.813432579,POINT (-75.50910411543045 5.7681250740883385),1,0.817551185,ABEJORRAL,sonson_avg
48,-1,5.732227638,-75.50012976,0.557024964,0.517209313,0.236720768,0.525888687,0.460457686,0.391566792,0.46963331,0.449795474,0.495546184,0.461622757,0.516619182,0.365793071,0.459387506,0.191619172,0.431339237,POINT (-75.50012975645609 5.732227638190903),0,0.453632903,ABEJORRAL,sonson_avg
49,-1,5.750176356,-75.50012976,0.724849829,0.53663593,0.577646506,0.743142229,0.749880328,0.631978527,0.612004601,0.620450563,0.611123926,0.644299264,0.805061678,0.781010206,0.773949215,0.763978028,0.787835837,POINT (-75.50012975645609 5.750176356139621),1,0.623971376,ABEJORRAL,sonson_avg
