,LATITUD_Y,LONGITUD_X,mines_outcome,elevation,Vocacion_Agroforestal,Vocacion_Agrícola,Vocacion_Conservación de Suelos,Vocacion_Cuerpo de agua,Vocacion_Forestal,Vocacion_Ganadera,Vocacion_Zonas urbanas,CLIMA_Cuerpo de agua,CLIMA_Cálido húmedo,CLIMA_Cálido húmedo a muy húmedo,CLIMA_Cálido seco,CLIMA_Cálido seco a húmedo,CLIMA_Frío húmedo a muy húmedo,CLIMA_Frío húmedo y frío muy húmedo,CLIMA_Frío muy húmedo,CLIMA_Muy frío y muy húmedo,CLIMA_Templado húmedo a muy húmedo,CLIMA_Zona urbana,TIPO_RELIE_Cuerpo de agua,TIPO_RELIE_Espinazos,TIPO_RELIE_Filas y vigas,TIPO_RELIE_Glacís coluvial y coluvios de remoción,TIPO_RELIE_Glacís y coluvios de remoción,TIPO_RELIE_Lomas y colinas,TIPO_RELIE_Plano de inundación,TIPO_RELIE_Terrazas,TIPO_RELIE_Terrazas y abanicos terrazas,TIPO_RELIE_Vallecitos,TIPO_RELIE_Vallecitos coluvio-aluviales,TIPO_RELIE_Zona urbana,population_2020,rwi,Municipio,geometry,No. Víctimas por Declaración,No. Sujetos Atención ,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",Amenaza,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,Desaparición forzada,Desplazamiento Forzado,"Homicidio, Masacre","Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",Secuestro,Tortura,Abandono o Despojo Forzado de Tierras,Perdida de Bienes Muebles o Inmuebles ,Lesiones Personales Fisicas,Lesiones Personales Psicologicas,Confinamiento,SIN INFORMACION ,comimo_dist,airports_dist,seaport_dist,settlement_dist,finance_dist,edu_dist,buildings_dist,railways_dist,waterways_dist,roads_dist,coca_dist,rwi_missing
3405,6.118125074088337,-75.30269385902025,0,1712.9140625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.1253333333333333,EL SANTUARIO,POINT (-75.30269385902025 6.118125074088337),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,7.360781110528597,12.935094064464687,59.4362575573434,2.2211784633737963,5.209984128940757,3.237154797766149,2.2370600808873977,73.52082378645919,2.2001545458422416,0.1541298551220049,25.956314365707694,0.0
3406,6.127099433062696,-75.30269385902025,0,1789.72314453125,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.2169999999999999,EL SANTUARIO,POINT (-75.30269385902025 6.127099433062696),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,7.224871611863855,12.65764660294616,59.86306100726088,3.0849354102566173,4.869589419341463,3.1546814307243176,2.831891584034817,73.68068994725603,1.3184223981255796,0.156593933005403,26.740933421517163,0.0
3407,6.145048151011414,-75.30269385902025,0,2155.0986328125,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.2876666666666666,EL SANTUARIO,POINT (-75.30269385902025 6.145048151011414),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,7.271805818219761,12.328405934816445,60.75685571707467,4.143322417843307,4.716345316721789,3.226051599040117,4.031983537158321,74.0383458508925,0.2549338263407469,0.0976498815483716,28.3056023109338,0.0
3408,6.118125074088337,-75.2937195000459,0,1927.674072265625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.1253333333333333,EL SANTUARIO,POINT (-75.2937195000459 6.118125074088337),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,6.392327531051492,13.880739990392632,60.33778206484463,2.9167898220540875,4.332813218526011,2.284896616297273,1.4249242277193384,72.54053875629994,1.829411235863155,0.0121434949758985,25.34587411220756,0.0
3409,6.127099433062696,-75.2937195000459,0,2092.43212890625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.2169999999999999,EL SANTUARIO,POINT (-75.2937195000459 6.127099433062696),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,6.235362572228556,13.622550236726449,60.75823823647123,3.3989668762700527,3.916934724201041,2.1664913230082976,2.2333036629043503,72.7025769540174,0.8742733296469758,0.3774425561724725,26.14882636314093,0.0
3410,6.145048151011414,-75.2937195000459,0,1975.915893554688,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.2876666666666666,EL SANTUARIO,POINT (-75.2937195000459 6.145048151011414),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,6.289730212782174,13.31715418105361,61.63902472041178,3.165522341653499,3.802033151049701,2.316808258697377,3.049697193766886,73.0647496499093,0.6285533031790184,0.1266907913408363,27.496299820157084,0.0
3411,6.100176356139619,-75.27577078209718,0,1570.58740234375,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.2455,EL SANTUARIO,POINT (-75.27577078209718 6.100176356139619),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,5.483482552927467,16.41575456538239,61.373176473940646,2.2201216132131245,4.557960398421703,2.763997294260701,1.332621753982165,70.28918645232166,2.8468392357018995,0.0340409255218125,22.560272074421302,0.0
3412,6.145048151011414,-75.27577078209718,1,1637.880493164062,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5235,EL SANTUARIO,POINT (-75.27577078209718 6.145048151011414),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,4.339388728471422,15.295976407985425,63.4131392480458,1.2782076670035556,1.9030108189438235,1.0929283386620878,1.137816108476972,71.11910724636766,0.7794872850765198,0.1717072548540527,25.91588827341721,0.0
3413,6.100176356139619,-75.26679642312283,0,1194.61962890625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,-0.3925,EL SANTUARIO,POINT (-75.26679642312283 6.100176356139619),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,4.759824842308296,17.341941217332945,62.29413493958796,1.3403665372662754,4.279139105686887,2.878924181972799,2.162764748966993,69.30578257131472,2.9280126292119784,0.0901366064566644,21.989931716713823,0.0
3414,6.145048151011414,-75.26679642312283,1,1879.606079101562,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1989.331614,0.5365,EL SANTUARIO,POINT (-75.26679642312283 6.145048151011414),8609,7483,14,409,14,45,7795,944,0,7,6,0,6,13,0,0,0,3.379102933937312,16.285889305192427,64.30481504663771,0.6274447780712261,1.075958097822983,0.6220987396798224,0.4948093494026551,70.1471040360674,0.1919312888193092,0.1347581074756869,25.14717965515382,0.0
